[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0109/500 | Score: 03 | Steps: 118 | Epsilon: 0.010
Game: 0110/500 | Score: 02 | Steps: 122 | Epsilon: 0.010
Game: 0111/500 | Score: 00 | Steps: 051 | Epsilon: 0.010
Game: 0112/500 | Score: 06 | Steps: 168 | Epsilon: 0.010
Score: 6.
Game: 0113/500 | Score: 07 | Steps: 104 | Epsilon: 0.010
Score: 7.
Game: 0114/500 | Score: 14 | Steps: 251 | Epsilon: 0.010
Score: 14.
Game: 0115/500 | Score: 09 | Steps: 210 | Epsilon: 0.010
Game: 0116/500 | Score: 03 | Steps: 052 | Epsilon: 0.010
Game: 0117/500 | Score: 03 | Steps: 171 | Epsilon: 0.010
Game: 0118/500 | Score: 01 | Steps: 020 | Epsilon: 0.010
Game: 0119/500 | Score: 06 | Steps: 162 | Epsilon: 0.010
Game: 0120/500 | Score: 00 | Steps: 010 | Epsilon: 0.010
Game: 0121/500 | Score: 01 | Steps: 059 | Epsilon: 0.010
Game: 0122/500 | Score: 07 | Steps: 191 | Epsilon: 0.010
Game: 0123/500 | Score: 01 | Steps: 053 | Epsilon: 0.010
Game: 0124/500 | Score: 04 | Steps: 196 | Epsilon: 0.010
Game: 0125/500 | Score: 00 | Steps: 038 | Epsilon: 0.010
Game: 0126/500 | Score: 01 | Steps: 019 | Epsilon: 0.010
Game: 0127/500 | Score: 00 | Steps: 054 | Epsilon: 0.010
Game: 0128/500 | Score: 01 | Steps: 061 | Epsilon: 0.010
Game: 0129/500 | Score: 05 | Steps: 131 | Epsilon: 0.010
Game: 0130/500 | Score: 11 | Steps: 223 | Epsilon: 0.010
Game: 0131/500 | Score: 02 | Steps: 076 | Epsilon: 0.010
Game: 0132/500 | Score: 06 | Steps: 117 | Epsilon: 0.010
Game: 0133/500 | Score: 03 | Steps: 119 | Epsilon: 0.010
Game: 0134/500 | Score: 05 | Steps: 077 | Epsilon: 0.010
Game: 0135/500 | Score: 05 | Steps: 172 | Epsilon: 0.010
Game: 0136/500 | Score: 04 | Steps: 075 | Epsilon: 0.010
Game: 0137/500 | Score: 02 | Steps: 149 | Epsilon: 0.010
Game: 0138/500 | Score: 10 | Steps: 115 | Epsilon: 0.010
Game: 0139/500 | Score: 10 | Steps: 326 | Epsilon: 0.010
Game: 0140/500 | Score: 21 | Steps: 255 | Epsilon: 0.010
Score: 21.
Game: 0141/500 | Score: 16 | Steps: 362 | Epsilon: 0.010
Game: 0142/500 | Score: 06 | Steps: 243 | Epsilon: 0.010
Game: 0143/500 | Score: 00 | Steps: 009 | Epsilon: 0.010
